SampleID,Date,Station,Date_year,Month,ParMC,DissMC,Phycocyanin,Chla,TP,Shore,NoaaStation,ReadSums
E0010-100LTR,16-Jun,nearshore2,6/16/14,June,0,NA,0.31,10.72,36.1,nearshore,WE2,13507
E0012-100LTR,16-Jun,nearshore1,6/16/14,June,0,NA,1.06,34.37,56.8,nearshore,WE12,24614
E0014-100LTR,16-Jun,offshore,6/16/14,June,0,NA,0.44,12.26,19.7,offshore,WE4,16159
E0016-100LTR,30-Jun,nearshore2,6/30/14,June,0,NA,1.69,19.94,26.3,nearshore,WE2,48086
E0018-100LTR,30-Jun,nearshore1,6/30/14,June,0,NA,0.63,7.88,19.4,nearshore,WE12,27806
E0020-100LTR,30-Jun,offshore,6/30/14,June,0,NA,1.59,12.93,23.7,offshore,WE4,30095
E0022-100LTR,8-Jul,nearshore2,7/8/14,July,0.29,NA,1.18,6.85,22.7,nearshore,WE2,37791
E0024-100LTR,8-Jul,nearshore1,7/8/14,July,0,NA,0.12,6.98,34,nearshore,WE12,25415
E0026-100LTR,8-Jul,offshore,7/8/14,July,0,NA,0.6,3.55,14.4,offshore,WE4,16664
E0028-100LTR,14-Jul,nearshore2,7/14/14,July,1.02,NA,17.18,10.43,26.2,nearshore,WE2,38893
E0030-100LTR,14-Jul,nearshore1,7/14/14,July,0,NA,0.73,7.74,23.1,nearshore,WE12,19368
E0032-100LTR,14-Jul,offshore,7/14/14,July,0.17,NA,0.71,3.96,13.1,offshore,WE4,28994
E0034-100LTR,21-Jul,nearshore2,7/21/14,July,4.94,NA,5.13,16.26,32.2,nearshore,WE2,26267
E0036-100LTR,21-Jul,nearshore1,7/21/14,July,6.14,NA,5.59,18.62,32.1,nearshore,WE12,38682
E0038-100LTR,21-Jul,offshore,7/21/14,July,1.82,NA,6.14,5.95,14.3,offshore,WE4,9639
E0040-100LTR,29-Jul,nearshore2,7/29/14,July,3.98,NA,8.81,10.02,23.6,nearshore,WE2,53926
E0042-100LTR,29-Jul,nearshore1,7/29/14,July,6.93,NA,27.74,33.15,67.5,nearshore,WE12,27684
E0044-100LTR,29-Jul,offshore,7/29/14,July,1.01,NA,4.77,6.12,16.5,offshore,WE4,49513
E0046-100LTR,4-Aug,nearshore2,8/4/14,August,4.33,NA,39.01,29.44,32,nearshore,WE2,59303
E0048-100LTR,4-Aug,nearshore1,8/4/14,August,9.28,NA,45.43,54.46,44.4,nearshore,WE12,26836
E0050-100LTR,4-Aug,offshore,8/4/14,August,1.54,NA,15.38,18.11,22.1,offshore,WE4,21160
E0052-100LTR,11-Aug,nearshore2,8/11/14,August,29.3,NA,268.78,71.96,121.1,nearshore,WE2,32343
E0054-100LTR,11-Aug,nearshore1,8/11/14,August,2.9,NA,16.97,11.58,43.6,nearshore,WE12,30074
E0056-100LTR,11-Aug,offshore,8/11/14,August,11.4,NA,52.11,30.23,45.7,offshore,WE4,23737
E0058-100LTR,18-Aug,nearshore2,8/18/14,August,4.71,NA,23.89,39.39,72.1,nearshore,WE2,33034
E0060-100LTR,18-Aug,nearshore1,8/18/14,August,3.39,NA,15.78,33.35,82.7,nearshore,WE12,32118
E0062-100LTR,18-Aug,offshore,8/18/14,August,0.21,NA,1.08,5.86,12,offshore,WE4,43643
E0064-100LTR,25-Aug,nearshore2,8/25/14,August,2.7,NA,18.81,27.1,90.3,nearshore,WE2,39961
E0066-100LTR,25-Aug,nearshore1,8/25/14,August,3.1,NA,45.72,38.28,98.1,nearshore,WE12,39740
